NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,tema
Ciências Biológicas (Licenciatura) (99802),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.454545454545455,33,6,Formação cidadã e profissional
Letras-Português (Licenciatura) (1160083),UFCG,PB,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,5.454545454545454,44,2,Metodologias de ensino
Letras-Português (Licenciatura) (1160083),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.454545454545454,44,6,Trabalhar em equipe
Geografia (Licenciatura) (120777),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.451612903225806,62,9,Consciência ética
Pedagogia (Licenciatura) (13452),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.449999999999999,20,6,TCC
Arquitetura e Urbanismo (1129147),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.448979591836735,49,10,Pensamento crítico
Pedagogia (Licenciatura) (13410),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.448275862068965,87,3,Capacidade de se atualizar
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.446808510638299,47,13,Exigiu org. e dedicação
Engenharia de Alimentos (112294),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.444444444444444,45,14,Exigiu org. e dedicação
Geografia (Licenciatura) (120777),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.442622950819672,61,6,Profs dominam assunto
Química (Licenciatura) (99808),UFCG,PB,30,"Ensino, apoio e avaliacão",O curso propiciou experiências de aprendizagem inovadoras.,5.44,25,1,Aprendizagem inovadora
Química (Licenciatura) (99808),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.4399999999999995,25,9,Comunicação oral e escrita
Engenharia Mecânica (13442),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.4375,32,5,Estágio
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.434782608695651,46,6,Diversidade
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.433962264150943,53,11,Pensamento crítico
Pedagogia (Licenciatura) (13410),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.432432432432432,74,7,TCC
Letras-Português (Licenciatura) (1160083),UFCG,PB,30,"Ensino, apoio e avaliacão",O curso propiciou experiências de aprendizagem inovadoras.,5.431818181818182,44,2,Aprendizagem inovadora
Letras-Português (Licenciatura) (1160083),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.431818181818182,44,6,Estágio
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,5.430769230769231,65,3,Coordenação disponível
Arquitetura e Urbanismo (1129147),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.428571428571429,49,15,Exigiu org. e dedicação
Engenharia Florestal (13456),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.428571428571429,21,7,Formação cidadã e profissional
Engenharia Florestal (13456),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.428571428571429,21,7,Profs dominam assunto
Arquitetura e Urbanismo (1129147),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.428571428571428,35,8,TCC
Engenharia Florestal (13456),UFCG,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,5.428571428571428,21,3,Conteúdo útil p/ prática
Geografia (Licenciatura) (120777),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.426229508196721,61,7,Diversidade
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.425531914893617,47,4,Capacidade de se atualizar
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,5.425531914893616,47,3,Metodologias de ensino
Química (Licenciatura) (1152881),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.424242424242425,33,13,Reflexão e argumentação
Engenharia Civil (13439),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.420454545454546,88,16,Exigiu org. e dedicação
Geografia (Licenciatura) (120777),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.419354838709678,62,14,Reflexão e argumentação
Letras-Português (Licenciatura) (1158116),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.419354838709677,31,8,Diversidade
